id_pilote,nom,statut,instagram,abonnes
1,Thomas Corsi,Pilote Amateur,@thomas_corsi,89000
2,shercobike,Pilote Amateur,@shercobike,1530
3,tekstunt,Pilote pour la marque SUPERMOT,@tekstunt,50900
4,Thomas Chareyre,Pilote professionnel,@tomchareyre4,38500
5,Laurent Fath,Pilote professionnel,@laurentfath,3117
6,Kikaninac,Youtubeur et Createur de la marque SUPERMOT,@kikaninac,1300000
